w0,vel_diff,rv_wl,obs_wl_air,prev_obs,element,sp_num,intens,Aki,Acc,Ei,Ek,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,prev,rv_shift,vsini_shift,f0_flat,f0_data,SNR,multi,tar_inst,abs_vel_diff
3888.9,-13.1046028639294,3889.07,3889.06,Z20o-HI/E12q-H8,H,1,70000,221480,AAA,10.1988358,13.38596103,2,,,8,,,8,128,,Z20o/E12q,0.01,1.3,0.303528397119819,0.00178787854162,3.35048153876558,yes,EX_Lupi_all,13.1046028639294
3933.7,2.28635694908918,3933.67,3933.66,Z20q-CaII/Z20o-CaII/E12q-CaIIH,Ca,2,230,147000000,C,0,3.150984,3p6.4s,2S,1/2,3p6.4p,2P*,3/2,2,4,,Z20q/Z20o/E12q,0.01,1.31,1.21486471260793,0.006397212797724,13.4102173974972,yes,EX_Lupi_all,2.28635694908918
3968.5,1.51086792928137,3968.48,3968.47,Z20o-CaII/E12q-CaIIK,Ca,2,220,140000000,C,0,3.123349,3p6.4s,2S,1/2,3p6.4p,2P*,1/2,2,2,,Z20o/E12q,0.01,1.32,1.23026778886244,0.005701644777321,13.5802434086403,yes,EX_Lupi_all,1.51086792928137
3968.5,-117.045959093728,3970.05,3970.04,E12q-H$\epsilon$,H,1,30000,438890,AAA,10.1988358,13.32091817,2,,,7,,,8,98,,E12q,0.01,1.32,1.23026778886244,0.005701644777321,13.5802434086403,yes,EX_Lupi_all,117.045959093728
4100.8,-67.2422938084564,4101.72,4101.71,Z20q-H$\delta$/Z20o-H$\delta$/E12q-H$\delta$,H,1,,2858300,AAA,10.1988105251482,13.22070314214,2s,2S,1/2,6p,2P*,3/2,2,4,,Z20q/Z20o/E12q,0.01,1.37,0.270873961991716,0.002111409502164,2.99002735031501,yes,EX_Lupi_all,67.2422938084564
4100.8,-69.4344694581448,4101.75,4101.74,,H,1,70000,973200,AAA,10.1988358,13.22070389,2,,,6,,,8,72,,,0.01,1.37,0.270873961991716,0.002111409502164,2.99002735031501,yes,EX_Lupi_all,69.4344694581448
4100.8,-70.8959020764393,4101.77,4101.76,,H,1,,857480,AAA,10.19885151459,13.22070313941,2p,2P*,3/2,6d,2D,3/2,4,4,,,0.01,1.37,0.270873961991716,0.002111409502164,2.99002735031501,yes,EX_Lupi_all,70.8959020764393
4100.8,-71.6266130411356,4101.78,4101.77,,H,1,,490060,AAA,10.19885151459,13.22070162532,2p,2P*,3/2,6s,2S,1/2,4,2,,,0.01,1.37,0.270873961991716,0.002111409502164,2.99002735031501,yes,EX_Lupi_all,71.6266130411356
4233.2,1.41639362367256,4233.18,4233.17,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,Fe,2,1000,720000,C+,2.58265947,5.5107139,3d6.(3P2).4s,b 4P,5/2,3d6.(5D).4p,z 4D*,7/2,6,8,,E12o/Z20q/E15q/Z20o/E12q/A17o,0.01,1.41,0.334853751295554,0.002141889773017,3.69626474012998,yes,EX_Lupi_all,1.41639362367256
4339.3,-81.5013778291375,4340.48,4340.47,Z20q-H$\gamma$/Z20o-H$\gamma$/E12q-H$\gamma$,H,1,90000,2530400,AAA,10.1988358,13.0545017,2,,,5,,,8,50,,Z20q/Z20o/E12q,0.01,1.45,0.44525797003211,0.003443055184482,4.91495564414001,yes,EX_Lupi_all,81.5013778291375
