obs_wl_air,ele,Aki,Acc,Ei,Ek,prev,star
3119.49,Fe I,8280000.0,B,2.43,6.41,,CVSO109
3192.06,Fe II,500000.0,D,3.81,7.7,,CVSO109
3192.27,Ti II,2200000.0,B',1.08,4.96,,CVSO109
3227.74,Fe II,8900000.0,C,1.67,5.51,,CVSO109/GQLupi
3227.8,Fe I,49600000.0,B,2.43,6.27,,CVSO109
3255.89,Fe II,278000.0,B,0.99,4.79,,CVSO109/GQLupi
3277.12,Fe II,0.04,C+,0.11,3.89,,GQLupi
3277.35,Fe II,330000.0,B,0.99,4.77,,CVSO109/GQLupi
3277.55,Fe II,0.13,C+,0.11,3.89,,GQLupi
3278.92,Ti II,88300000.0,B+,1.08,4.86,,CVSO109
3387.83,Ti II,28100000.0,B+,0.03,3.69,,CVSO109
3483.01,Fe I,145000.0,B,0.91,4.47,,CVSO109
3691.56,H I,3685.1,AAA,10.2,13.56,,GQLupi
3697.16,H I,4910.1,AAA,10.2,13.55,,GQLupi
3703.86,H I,6658.3,AAA,10.2,13.55,,GQLupi
3711.98,H I,9210.2,AAA,10.2,13.54,Z20o,GQLupi
3721.94,H I,13032.0,AAA,10.2,13.53,,CVSO109/GQLupi
3734.37,H I,18927.0,AAA,10.2,13.52,,CVSO109/GQLupi
3736.9,Ca II,170000000.0,C,3.15,6.47,Z20o,CVSO109
3750.15,H I,28337.0,AAA,10.2,13.5,Z20o,CVSO109/GQLupi
3750.16,H I,28337.0,AAA,10.2,13.5,,GQLupi
3761.32,Ti II,120000000.0,A',0.57,3.87,Z20o,CVSO109
3761.41,Fe I,1040000.0,B,2.59,5.88,Z20o,CVSO109
3770.63,H I,43972.0,AAA,10.2,13.49,Z20o,CVSO109/GQLupi
3770.64,H I,43972.0,AAA,10.2,13.49,,CVSO109/GQLupi
3797.9,H I,71225.0,AAA,10.2,13.46,,GQLupi
3797.91,H I,71225.0,AAA,10.2,13.46,Z20o,CVSO109/GQLupi
3825.88,Fe I,59700000.0,A,0.91,4.15,,CVSO109
3835.35,H I,121560.0,AAA,10.2,13.43,E12q,CVSO109/GQLupi
3835.39,H I,121560.0,AAA,10.2,13.43,,CVSO109/GQLupi
3835.4,H I,121560.0,AAA,10.2,13.43,Z20o,CVSO109/GQLupi
3889.06,H I,221480.0,AAA,10.2,13.39,Z20o/E12q,CVSO109/GQLupi/ExLupi
3933.66,Ca II,147000000.0,C,0.0,3.15,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
3933.66,Ca II,147000000.0,C,0.0,3.15,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
3968.47,Ca II,140000000.0,C,0.0,3.12,Z20o/E12q,CVSO109/GQLupi/ExLupi
3968.47,Ca II,140000000.0,C,0.0,3.12,Z20o/E12q,CVSO109/GQLupi/ExLupi
3970.04,H I,438890.0,AAA,10.2,13.32,E12q,CVSO109/GQLupi/ExLupi
3970.08,H I,438890.0,AAA,10.2,13.32,,GQLupi
4026.18,He I,322240.0,AAA,20.96,24.04,,GQLupi
4026.19,He I,2899900.0,AAA,20.96,24.04,E15q/E12q,GQLupi
4026.2,He I,4833600.0,AAA,20.96,24.04,,GQLupi
4026.36,He I,6444800.0,AAA,20.96,24.04,,CVSO109/GQLupi
4100.74,Fe I,29200.0,A,0.86,3.88,,GQLupi
4101.7,H I,245010.0,AAA,10.2,13.22,,CVSO109/GQLupi
4101.71,H I,2858300.0,AAA,10.2,13.22,Z20q/Z20o/E12q,CVSO109/GQLupi/ExLupi
4101.74,H I,973200.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4101.76,H I,857480.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4101.77,H I,490060.0,AAA,10.2,13.22,,CVSO109/GQLupi/ExLupi
4178.86,Fe II,170000.0,C,2.58,5.55,Z20q/E15q/Z20o/E12q,CVSO109
4233.17,Fe II,720000.0,C+,2.58,5.51,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
4340.43,H I,429550.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.44,H I,4948400.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.47,H I,2530400.0,AAA,10.2,13.05,Z20q/Z20o/E12q,CVSO109/ExLupi
4340.49,H I,9425400.0,AAA,10.2,13.05,,CVSO109/ExLupi
4340.5,H I,859200.0,AAA,10.2,13.05,,CVSO109/ExLupi
4416.83,Fe II,210000.0,D,2.78,5.58,E15q,ExLupi
4471.47,He I,682750.0,AAA,20.96,23.74,,ExLupi
4471.48,He I,682750.0,AAA,20.96,23.74,E15q,CVSO109/GQLupi/ExLupi
4471.48,He I,682750.0,AAA,20.96,23.74,E15q,CVSO109/GQLupi/ExLupi
4471.49,He I,10241000.0,AAA,20.96,23.74,,GQLupi
4471.58,He I,10241000.0,AAA,20.96,23.74,E12q,CVSO109/GQLupi/ExLupi
4471.58,He I,10241000.0,AAA,20.96,23.74,E12q,CVSO109/GQLupi/ExLupi
4481.13,Mg II,233000000.0,A,8.86,11.63,,ExLupi
4481.15,Mg II,15500000.0,A,8.86,11.63,,ExLupi
4508.28,Fe II,700000.0,D,2.86,5.6,,ExLupi
4508.29,Fe II,700000.0,D,2.86,5.6,Z20q/E15q/Z20o/E12q,ExLupi
4549.47,Fe II,1000000.0,C+,2.83,5.55,E12o/Z20q/E15q/Z20o/E12q/A17o,ExLupi
4583.83,Fe II,720000.0,C+,2.81,5.51,Z20q/Z20o,ExLupi
4583.84,Fe II,720000.0,C+,2.81,5.51,E12q,ExLupi
4685.38,He II,93894000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.41,He II,49071000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.52,He II,9794700.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.57,He II,49070000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.7,He II,112660000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.76,He II,556310.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.8,He II,220700000.0,AA,48.37,51.02,E12q,GQLupi/ExLupi
4685.83,He II,14713000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.88,He II,5006700.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.91,He II,19588000.0,AA,48.37,51.02,,GQLupi/ExLupi
4685.92,He II,5563600.0,AA,48.37,51.02,,GQLupi/ExLupi
4861.28,H I,17188000.0,AAA,10.2,12.75,E12o/E12q/A17o,CVSO109/ExLupi
4861.29,H I,859410.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.3,H I,9668300.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.33,H I,8419300.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.35,H I,20625000.0,AAA,10.2,12.75,Z20q/Z20o,CVSO109/ExLupi
4861.36,H I,20625000.0,AAA,10.2,12.75,,CVSO109/ExLupi
4861.37,H I,1719000.0,AAA,10.2,12.75,,CVSO109/ExLupi
4921.93,He I,19863000.0,AAA,21.22,23.74,E15q/E12q,ExLupi
4923.92,Fe II,4300000.0,C,2.89,5.41,Z20q/E15q/Z20o/E12q/A17o,GQLupi/ExLupi
5015.68,He I,13372000.0,AAA,20.62,23.09,E15q/E12q,GQLupi/ExLupi
5015.68,He I,13372000.0,AAA,20.62,23.09,E15q/E12q,GQLupi/ExLupi
5015.75,Fe II,62000000.0,B+,10.35,12.82,,GQLupi
5018.43,Fe II,2000000.0,D+,2.89,5.36,E12o/Z20q/E15q/Z20o/E12q/A17o,CVSO109/GQLupi/ExLupi
5167.32,Mg I,11300000.0,B+,2.71,5.11,E12q/A17o,ExLupi
5167.48,Fe I,2720000.0,B+,1.48,3.88,E12q,ExLupi
5167.49,Fe I,2720000.0,B+,1.48,3.88,,ExLupi
5167.56,Co II,1800000.0,D,11.25,13.65,,ExLupi
5168.05,N II,30600000.0,C+,27.97,30.37,,ExLupi
5168.71,Fe II,680000.0,D+,10.46,12.85,,ExLupi
5168.87,Co II,350000.0,D,11.49,13.88,,ExLupi
5168.9,Fe I,3830.0,A,0.05,2.45,,ExLupi
5169.03,Fe II,4200000.0,C,2.89,5.29,E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
5169.03,Fe II,4200000.0,C,2.89,5.29,E15q/Z20o/E12q,CVSO109/GQLupi/ExLupi
5169.28,Fe II,4200000.0,C,2.89,5.29,E12q,CVSO109/ExLupi
5170.78,Fe II,19400000.0,C+,10.46,12.85,,ExLupi
5171.6,Fe I,446000.0,A,1.48,3.88,E15q,ExLupi
5171.67,Fe I,446000.0,A,1.48,3.88,E12q,ExLupi
5172.68,Mg I,0.0,B,2.71,5.11,Z20q/E15q/Z20o/E12q/A17o,ExLupi
5175.4,Fe II,180000.0,D,7.73,10.12,,ExLupi
5183.49,Fe II,1800000.0,D+,10.43,12.82,,ExLupi
5183.6,Mg I,0.0,B,2.72,5.11,Z20q/E15q/Z20o/E12q/A17o,ExLupi
5183.71,Ti II,90400.0,C',1.89,4.28,,ExLupi
