T,Te,U_Fe_I,U_Fe_II
4000,0.344720322,24.61,39.15
4600,0.396428371,26.44,41.75
5200,0.448136419,28.51,44.24
5800,0.499844468,30.88,46.73
6400,0.551552516,33.58,49.25
7000,0.603260564,36.68,51.86
7600,0.654968613,40.21,54.59
8200,0.706676661,44.22,57.44
8800,0.758384709,48.76,60.44
9400,0.810092758,,
10000,0.861800806,,
10600,0.913508855,,
11200,0.965216903,,
11800,1.016924951,,
12400,1.068633,,
13000,1.120341048,,
13600,1.172049096,,
14200,1.223757145,121.35,94.48
14800,1.275465193,,
15400,1.327173242,,
16000,1.37888129,,
16600,1.430589338,,
17200,1.482297387,,
17800,1.534005435,,
18400,1.585713483,224.89,130.45
19000,1.637421532,,
19600,1.68912958,,
20200,1.740837628,,
20800,1.792545677,,
21400,1.844253725,,
22000,1.895961774,,
22600,1.947669822,,
23200,1.99937787,388.61,184.13
23800,2.051085919,,
24400,2.102793967,,
25000,2.154502015,,
25600,2.206210064,,
26200,2.257918112,,
26800,2.309626161,,
27400,2.361334209,,
28000,2.413042257,,
28600,2.464750306,610.99,263.75
29200,2.516458354,,
29800,2.568166402,,
30400,2.619874451,,
31000,2.671582499,,
31600,2.723290548,,
32200,2.774998596,,
32800,2.826706644,,
33400,2.878414693,,
34000,2.930122741,852.65,364.84
34600,2.981830789,,
35200,3.033538838,,
35800,3.085246886,,
36400,3.136954935,,
37000,3.188662983,,
37600,3.240371031,,
38200,3.29207908,,
38800,3.343787128,,
39400,3.395495176,1098.15,485.62
