element	sp_num	obs_wl_vac	unc_obs_wl	ritz_wl_vac	unc_ritz_wl	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	tp_ref	line_ref	
Si	13	""	""	"5.135"	"0.010"	""	"2.70e+11"	C+	"0.0000"	"[2414.6402]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"	1	3		"T5231c4"	""	
Si	13	""	""	"5.146"	"0.010"	""	"3.68e+11"	A	"0.0000"	"[2409.2488]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.162"	"0.010"	""	"5.25e+11"	A	"0.0000"	"[2401.7119]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.186"	"0.010"	""	"7.86e+11"	A	"0.0000"	"[2390.7199]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.223"	"0.010"	""	"1.25e+12"	A	"0.0000"	"[2373.7862]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.286"	"0.010"	""	"2.18e+12"	A	"0.0000"	"[2345.7092]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.405"	"0.010"	""	"4.29e+12"	A	"0.0000"	"[2294.0469]"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		"T5072"	""	
Si	13	""	""	"5.681"	"0.010"	""	"1.04e+13"	A+	"0.0000"	"[2182.5462]"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"	1	3		"T5072"	""	
Fe	26	""	""	"6.337581"	"0.000010"	""	"2.35e+12"	A	"(6952.5255)"	"(8908.859)"	"2s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"	2	4		"T7228extrap"	"L11926"	
Mg	12	""	""	"6.380853"	"0.000010"	"6g"	""		"0.0000"	"(1943.0662)"	"1s"	"2S"	"1/2"	"10p"	"2P*"	"3/2"	2	4		""	""	
Mg	12	""	""	"6.380878"	"0.000010"	"3g"	""		"0.0000"	"(1943.0587)"	"1s"	"2S"	"1/2"	"10p"	"2P*"	"1/2"	2	2		""	""	
Mg	12	""	""	"6.395988"	"0.000010"	"7g"	""		"0.0000"	"(1938.4684)"	"1s"	"2S"	"1/2"	"9p"	"2P*"	"3/2"	2	4		""	""	
Mg	12	""	""	"6.396022"	"0.000010"	"3g"	""		"0.0000"	"(1938.4580)"	"1s"	"2S"	"1/2"	"9p"	"2P*"	"1/2"	2	2		""	""	
Fe	26	""	""	"6.403725"	"0.000010"	""	"4.34e+12"	A	"(6973.1751)"	"(8909.301)"	"2p"	"2P*"	"3/2"	"5d"	"2D"	"5/2"	4	6		"T7228extrap"	"L11926"	
Mg	12	""	""	"6.417268"	"0.000010"	"4g"	""		"0.0000"	"(1932.0403)"	"1s"	"2S"	"1/2"	"8p"	"2P*"	"3/2"	2	4		""	""	
Mg	12	""	""	"6.417317"	"0.000010"	"8g"	""		"0.0000"	"(1932.0256)"	"1s"	"2S"	"1/2"	"8p"	"2P*"	"1/2"	2	2		""	""	
Mg	12	""	""	"6.448563"	"0.000010"	"5g"	""		"0.0000"	"(1922.6640)"	"1s"	"2S"	"1/2"	"7p"	"2P*"	"3/2"	2	4		""	""	
Mg	12	""	""	"6.448637"	"0.000010"	"10g"	""		"0.0000"	"(1922.6419)"	"1s"	"2S"	"1/2"	"7p"	"2P*"	"1/2"	2	2		""	""	
Mg	12	"6.5035"	"0.0010"	"6.497386"	"0.000010"	"20g*"	""		"0.0000"	"(1908.2167)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"3/2"	2	4		""	"L2560c7"	
Mg	12	"6.5035"	"0.0010"	"6.497505"	"0.000010"	"10g*"	""		"0.0000"	"(1908.1818)"	"1s"	"2S"	"1/2"	"6p"	"2P*"	"1/2"	2	2		""	"L2560c7"	
Mg	12	"6.5765"	"0.0010"	"6.580011"	"0.000010"	"30g*"	""		"0.0000"	"(1884.2553)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"3/2"	2	4		""	"L2560c7"	
Mg	12	"6.5765"	"0.0010"	"6.580222"	"0.000010"	"15g*"	""		"0.0000"	"(1884.1948)"	"1s"	"2S"	"1/2"	"5p"	"2P*"	"1/2"	2	2		""	"L2560c7"	
Si	13	""	""	"6.648"	"0.010"	""	"3.76e+13"	A+	"0.0000"	"[1864.975]"	"1s2"	"1S"	"0"	"1s.2p"	"1P*"	"1"	1	3		"T5072,T3585"	""	
Si	13	""	""	"6.688"	"0.010"	""	""		"0.0000"	"[1853.7553]"	"1s2"	"1S"	"0"	"1s.2p"	"3P*"	"1"	1	3		""	""	
Fe	25	""	""	"6.7031"	"0.0010"	""	""		"[6636.596]"	"[8486.26]"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"2"	3	5		""	"L11926"	
Fe	25	""	""	"6.7065"	"0.0010"	""	"1.8e+12"	B	"[6636.596]"	"[8485.30]"	"1s.2s"	"3S"	"1"	"1s.5p"	"3P*"	"1"	3	3		"T3221"	""	
Mg	12	"6.7365"	"0.0010"	"6.737749"	"0.000010"	"60g*"	""		"0.0000"	"(1840.1426)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"	2	4		""	"L2560c7"	
Mg	12	"6.7365"	"0.0010"	"6.738182"	"0.000010"	"30g*"	""		"0.0000"	"(1840.0244)"	"1s"	"2S"	"1/2"	"4p"	"2P*"	"1/2"	2	2		""	"L2560c7"	
Si	13	""	""	"6.740"	"0.010"	""	""		"0.0000"	"[1839.4227]"	"1s2"	"1S"	"0"	"1s.2s"	"3S"	"1"	1	3	M1	""	""	
Fe	24	""	""	"6.749"	"0.010"	""	"9.28e+11"	C+	"48.5997"	"1885.7"	"1s2.2p"	"2P*"	"1/2"	"1s2.7d"	"2D"	"3/2"	2	4		"T3015LS"	""	
Fe	24	"6.787"	"0.010"	"6.786"	"0.003"	""	"1.02e+12"	C+'	"0.0000"	"1827.0"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"3/2"	2	4		"T3015"	"L11369"	
Fe	24	"6.787"	"0.010"	"6.788"	"0.003"	""	"1.02e+12"	C+'	"0.0000"	"1826.4"	"1s2.2s"	"2S"	"1/2"	"1s2.6p"	"2P*"	"1/2"	2	2		"T3015"	"L11369"	
Fe	24	"6.808"	"0.010"	"6.808"	"0.003"	""	"1.8e+11"	D	"64.5656"	"1885.7"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"3/2"	4	4		"T3015LS"	"L11369"	
Fe	24	"6.808"	"0.010"	"6.808"	"0.003"	""	"1.08e+12"	C+	"64.5656"	"1885.6"	"1s2.2p"	"2P*"	"3/2"	"1s2.7d"	"2D"	"5/2"	4	6		"T3015LS"	"L11369"	
Fe	25	""	""	"6.8150"	"0.0010"	""	"1.7e+12"	B	"[6668.023]"	"[8487.31]"	"1s.2s"	"1S"	"0"	"1s.5p"	"1P*"	"1"	1	3		"T3221"	""	
Fe	25	""	""	"6.8277"	"0.0010"	""	"1.7e+11"	C	"[6667.569]"	"[8483.47]"	"1s.2p"	"3P*"	"1"	"1s.5s"	"3S"	"1"	3	3		"T3221"	""	
Fe	25	""	""	"6.8836"	"0.0010"	""	""		"[6682.33]"	"[8483.47]"	"1s.2p"	"3P*"	"2"	"1s.5s"	"3S"	"1"	5	3		""	"L11926"	
Fe	25	""	""	"6.9466"	"0.0010"	""	"5.0e+11"	C	"[6700.415]"	"[8485.24]"	"1s.2p"	"1P*"	"1"	"1s.5s"	"1S"	"0"	3	1		"T3221"	""	
Fe	24	"6.972"	"0.010"	"6.972"	"0.003"	""	"1.52e+12"	C+	"48.5997"	"1826.9"	"1s2.2p"	"2P*"	"1/2"	"1s2.6d"	"2D"	"3/2"	2	4		"T3015LS"	"L11369"	
Fe	24	"7.033"	"0.010"	"7.035"	"0.003"	""	"2.9e+11"	D	"64.5656"	"1826.9"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"3/2"	4	4		"T3015LS"	"L11369"	
Fe	24	"7.033"	"0.010"	"7.033"	"0.003"	""	"1.78e+12"	C+	"64.5656"	"1827.5"	"1s2.2p"	"2P*"	"3/2"	"1s2.6d"	"2D"	"5/2"	4	6		"T3015LS"	"L11369"	
Fe	26	""	""	"7.090077"	"0.000010"	""	"4.61e+12"	A	"(6952.5255)"	"(8701.226)"	"2s"	"2S"	"1/2"	"4p"	"2P*"	"3/2"	2	4		"T7228extrap"	"L11926"	
Mg	11	""	""	"7.1037"	"0.0010"	"10g"	"1.40e+11"	A+	"0.0000"	"[1745.3494]"	"1s2"	"1S"	"0"	"1s.10p"	"1P*"	"1"	1	3		"T5231c4,T5072"	""	
Mg	12	"7.1068"	"0.0010"	"7.105766"	"0.000010"	"200g*"	""		"0.0000"	"(1744.8393)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"3/2"	2	4		""	"L2560c7"	
Mg	12	"7.1068"	"0.0010"	"7.106907"	"0.000010"	"100g*"	""		"0.0000"	"(1744.5591)"	"1s"	"2S"	"1/2"	"3p"	"2P*"	"1/2"	2	2		""	"L2560c7"	
Mg	11	"7.128"	"0.010"	"7.1194"	"0.0010"	"15g"	"1.92e+11"	A	"0.0000"	"[1741.491]"	"1s2"	"1S"	"0"	"1s.9p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L2304"	
Mg	11	"7.156"	"0.010"	"7.1415"	"0.0010"	"20g"	"2.74e+11"	A	"0.0000"	"[1736.0969]"	"1s2"	"1S"	"0"	"1s.8p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L2304"	
Fe	24	"7.169"	"0.010"	"7.172"	"0.003"	""	"1.7e+12"	C+'	"0.0000"	"1728.8"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"1/2"	2	2		"T3015"	"L11369"	
Fe	24	"7.169"	"0.010"	"7.168"	"0.003"	""	"1.7e+12"	C+'	"0.0000"	"1729.8"	"1s2.2s"	"2S"	"1/2"	"1s2.5p"	"2P*"	"3/2"	2	4		"T3015"	"L11369"	
Fe	26	""	""	"7.171209"	"0.000010"	""	"9.50e+12"	A	"(6973.1751)"	"(8702.091)"	"2p"	"2P*"	"3/2"	"4d"	"2D"	"5/2"	4	6		"T7228extrap"	"L11926"	
Mg	11	"7.177"	"0.010"	"7.1741"	"0.0010"	"25g"	"4.10e+11"	A	"0.0000"	"[1728.2309]"	"1s2"	"1S"	"0"	"1s.7p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L2304"	
Mg	11	"7.2256"	"0.0010"	"7.2247"	"0.0010"	"35g"	"6.52e+11"	A+	"0.0000"	"[1716.1139]"	"1s2"	"1S"	"0"	"1s.6p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L2560c7"	
Mg	11	"7.3102"	"0.0010"	"7.3103"	"0.0010"	"50g"	"1.13e+12"	A+	"0.0000"	"[1696.0249]"	"1s2"	"1S"	"0"	"1s.5p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L7418c8"	
Mg	11	""	""	"7.3125"	"0.0010"	"2g"	""		"0.0000"	"[1695.5024]"	"1s2"	"1S"	"0"	"1s.5p"	"3P*"	"1"	1	3		""	""	
Fe	24	"7.370"	"0.010"	"7.370"	"0.003"	""	"2.8e+12"	C	"48.5997"	"1730.9"	"1s2.2p"	"2P*"	"1/2"	"1s2.5d"	"2D"	"3/2"	2	4		"T3354"	"L11369"	
Fe	24	""	""	"7.3891"	"0.0010"	""	""		"48.5997"	"[1726.54]"	"1s2.2p"	"2P*"	"1/2"	"1s2.5s"	"2S"	"1/2"	2	2		""	"L11926"	
Fe	24	"7.438"	"0.010"	"7.441"	"0.003"	""	"5.4e+11"	D	"64.5656"	"1730.9"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"3/2"	4	4		"T3354"	"L11369"	
Fe	24	"7.438"	"0.010"	"7.438"	"0.003"	""	"3.26e+12"	C	"64.5656"	"1731.5"	"1s2.2p"	"2P*"	"3/2"	"1s2.5d"	"2D"	"5/2"	4	6		"T3354"	"L11369"	
Fe	23	"7.445"	"0.010"	"7.445"	"0.003"	""	"1.5e+12"	D	"58.493"	"1723.9"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.5p"	"3D"	"3"	5	7		"T3348"	"L4776"	
Fe	24	""	""	"7.4601"	"0.0010"	""	""		"64.5656"	"[1726.54]"	"1s2.2p"	"2P*"	"3/2"	"1s2.5s"	"2S"	"1/2"	4	2		""	"L11926"	
Fe	23	"7.472"	"0.010"	"7.472"	"0.003"	""	"2.5e+12"	D	"0.0000"	"1659.3"	"1s2.2s2"	"1S"	"0"	"1s2.2s.5p"	"1P*"	"1"	1	3		"T3348"	"L4776"	
Mg	11	"7.4738"	"0.0010"	"7.4731"	"0.0010"	"100g"	"2.24e+12"	A+	"0.0000"	"[1659.0654]"	"1s2"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L7418c8"	
Mg	11	""	""	"7.4778"	"0.0010"	"5g"	""		"0.0000"	"[1658.0325]"	"1s2"	"1S"	"0"	"1s.4p"	"3P*"	"1"	1	3		""	""	
Fe	25	""	""	"7.4833"	"0.0010"	""	""		"[6636.596]"	"[8293.41]"	"1s.2s"	"3S"	"1"	"1s.4p"	"3P*"	"2"	3	5		""	"L11926"	
Fe	25	""	""	"7.4917"	"0.0010"	""	"3.6e+12"	B	"[6636.596]"	"[8291.55]"	"1s.2s"	"3S"	"1"	"1s.4p"	"3P*"	"1"	3	3		"T3221"	""	
Fe	25	""	""	"7.6078"	"0.0010"	""	""		"[6665.549]"	"[8295.25]"	"1s.2p"	"3P*"	"0"	"1s.4d"	"3D"	"1"	1	3		""	"L11926"	
Fe	25	""	""	"7.6172"	"0.0010"	""	""		"[6667.569]"	"[8295.25]"	"1s.2p"	"3P*"	"1"	"1s.4d"	"3D"	"1"	3	3		""	"L11926"	
Fe	25	""	""	"7.6174"	"0.0010"	""	""		"[6667.569]"	"[8295.21]"	"1s.2p"	"3P*"	"1"	"1s.4d"	"3D"	"2"	3	5		""	"L11926"	
Fe	25	""	""	"7.6183"	"0.0010"	""	"3.4e+12"	B	"[6668.023]"	"[8295.49]"	"1s.2s"	"1S"	"0"	"1s.4p"	"1P*"	"1"	1	3		"T3221"	""	
Fe	25	""	""	"7.6515"	"0.0010"	""	"3.5e+11"	C	"[6667.569]"	"[8287.96]"	"1s.2p"	"3P*"	"1"	"1s.4s"	"3S"	"1"	3	3		"T3221"	""	
Fe	23	"7.680"	"0.010"	"7.680"	"0.003"	""	"2.5e+12"	D	"47.006"	"1661.4"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.5d"	"3D"	"2"	3	5		"T3348"	"L4776"	
Fe	23	"7.680"	"0.010"	"7.680"	"0.003"	""	"1.8e+12"	D	"43.17"	"1657.5"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.5d"	"3D"	"1"	1	3		"T3348"	"L4776"	
Fe	25	""	""	"7.6837"	"0.0010"	""	""		"[6682.33]"	"[8295.92]"	"1s.2p"	"3P*"	"2"	"1s.4d"	"3D"	"3"	5	7		""	"L11926"	
Fe	25	""	""	"7.6871"	"0.0010"	""	""		"[6682.33]"	"[8295.21]"	"1s.2p"	"3P*"	"2"	"1s.4d"	"3D"	"2"	5	5		""	"L11926"	
Fe	25	""	""	"7.7218"	"0.0010"	""	""		"[6682.33]"	"[8287.96]"	"1s.2p"	"3P*"	"2"	"1s.4s"	"3S"	"1"	5	3		""	"L11926"	
Fe	23	"7.733"	"0.010"	"7.733"	"0.003"	""	"3.0e+12"	D	"58.493"	"1661.9"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.5d"	"3D"	"3"	5	7		"T3348"	"L4776"	
Fe	23	"7.755"	"0.010"	"7.755"	"0.003"	""	""		"127.36"	"1726.1"	"1s2.2p2"	"3P"	"1"	"1s2.2p.5d"	"1D*"	"2"	3	5		""	"L4776"	
Fe	25	""	""	"7.7702"	"0.0010"	""	"8.0e+12"	C	"[6700.415]"	"[8296.04]"	"1s.2p"	"1P*"	"1"	"1s.4d"	"1D"	"2"	3	5		"T5298"	"L11926"	
Fe	23	"7.778"	"0.010"	"7.778"	"0.003"	""	"2.5e+12"	D	"132.87"	"1727.0"	"1s2.2p2"	"3P"	"2"	"1s2.2p.5d"	"3D*"	"3"	5	7		"T3348"	"L4776"	
Fe	25	""	""	"7.7927"	"0.0010"	""	"1.0e+12"	C	"[6700.415]"	"[8291.44]"	"1s.2p"	"1P*"	"1"	"1s.4s"	"1S"	"0"	3	1		"T3221"	""	
Fe	23	"7.826"	"0.010"	"7.826"	"0.003"	""	"2.6e+12"	D	"127.36"	"1711.6"	"1s2.2p2"	"3P"	"1"	"1s2.2p.5d"	"3D*"	"2"	3	5		"T3348"	"L4776"	
Fe	23	"7.849"	"0.010"	"7.849"	"0.003"	""	"4.9e+12"	D	"149.30"	"1729.0"	"1s2.2p2"	"1D"	"2"	"1s2.2p.5d"	"1F*"	"3"	5	7		"T3348"	"L4776"	
Mg	11	"7.8509"	"0.0010"	"7.8505"	"0.0010"	"400g"	"5.43e+12"	A+	"0.0000"	"[1579.3115]"	"1s2"	"1S"	"0"	"1s.3p"	"1P*"	"1"	1	3		"T5231c4,T5072"	"L7418c8"	
Fe	23	"7.854"	"0.010"	"7.854"	"0.003"	""	"2.3e+12"	D	"132.87"	"1711.5"	"1s2.2p2"	"3P"	"2"	"1s2.2p.5d"	"3F*"	"3"	5	7		"T3348"	"L4776"	
Mg	11	"7.8612"	"0.0010"	"7.8630"	"0.0010"	"20g"	""		"0.0000"	"[1576.7974]"	"1s2"	"1S"	"0"	"1s.3p"	"3P*"	"1"	1	3		""	"L4110c7"	
Fe	23	"7.883"	"0.010"	"7.883"	"0.003"	""	"2.8e+12"	D	"93.287"	"1666.1"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2s.5d"	"1D"	"2"	3	5		"T3348"	"L4776"	
Fe	24	"7.986"	"0.010"	"7.9841"	"0.0010"	""	"3.43e+12"	C+	"0.0000"	"1552.89"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"3/2"	2	4		"T2093"	"L11369"	
Fe	24	"7.996"	"0.010"	"7.9943"	"0.0010"	""	"3.4e+12"	C+	"0.0000"	"1550.91"	"1s2.2s"	"2S"	"1/2"	"1s2.4p"	"2P*"	"1/2"	2	2		"T2093"	"L11369"	
Mg	10	"8.0694"	"0.0010"	"8.066"	"0.010"	""	""		"20.332"	"[1557.4]"	"1s2.2p"	"2P*"	"3/2"	"1s.2p.(3P*).3p"	"2D"	"5/2"	4	6		""	"L2560c7"	
Fe	22	"8.091"	"0.010"	"8.0913"	"0.0013"	""	""		"0.0000"	"1532.32"	"2s2.2p"	"2P*"	"1/2"	"2s2.5d"	"2D"	"3/2"	2	4		""	"L6738"	
Mg	10	"8.092"	"0.010"	"8.092"	"0.010"	"3*"	""		"19.8393"	"1552.0"	"1s2.2p"	"2P*"	"1/2"	"1s.2p.(3P*).3p"	"2P"	"1/2"	2	2		""	"L2743"	
Fe	24	"8.232"	"0.010"	"8.2323"	"0.0015"	""	"6.10e+12"	C+	"48.5997"	"1554.7"	"1s2.2p"	"2P*"	"1/2"	"1s2.4d"	"2D"	"3/2"	2	4		"T2093"	"L11369"	
Fe	23	"8.273"	"0.010"	"8.273"	"0.003"	""	"2.9e+12"	C	"58.493"	"1557.2"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2p.4p"	"3D"	"3"	5	7		"T4966"	"L4776"	
Fe	24	"8.2854"	"0.0010"	"8.2833"	"0.0005"	""	"3.6e+11"	D	"48.5997"	"1545.39"	"1s2.2p"	"2P*"	"1/2"	"1s2.4s"	"2S"	"1/2"	2	2		"T2093"	"L11369"	
Fe	23	"8.289"	"0.010"	"8.289"	"0.003"	""	"2.6e+12"	D	"47.006"	"1542.7"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2p.4p"	"3D"	"2"	3	5		"T5298"	"L4871"	
Fe	23	"8.305"	"0.010"	"8.303"	"0.003"	""	"4.8e+12"	D	"0.0000"	"1493.3"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"1P*"	"1"	1	3		"T4966"	"L6738"	
Fe	24	"8.3160"	"0.0010"	"8.3164"	"0.0021"	""	"7.07e+12"	C+	"64.5656"	"1555.4"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"5/2"	4	6		"T2093"	"L11369"	
Fe	23	"8.317"	"0.010"	"8.317"	"0.003"	""	"1.3e+12"	D	"0.0000"	"1490.8"	"1s2.2s2"	"1S"	"0"	"1s2.2s.4p"	"3P*"	"1"	1	3		"T5298"	"L6738"	
Fe	24	""	""	"8.3205"	"0.0010"	""	"1.18e+12"	C	"64.5656"	"1554.7"	"1s2.2p"	"2P*"	"3/2"	"1s2.4d"	"2D"	"3/2"	4	4		"T2093"	""	
Fe	24	"8.3757"	"0.0010"	"8.3727"	"0.0005"	""	"6.9e+11"	D	"64.5656"	"1545.39"	"1s2.2p"	"2P*"	"3/2"	"1s2.4s"	"2S"	"1/2"	4	2		"T2093"	"L11369"	
Mg	12	"8.4201"	"0.0010"	"8.419199"	"0.000010"	"1000g"	""		"0.0000"	"(1472.63659)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"3/2"	2	4		""	"L2560c7"	
Mg	12	"8.4260"	"0.0010"	"8.424608"	"0.000010"	"500g"	""		"0.0000"	"(1471.69098)"	"1s"	"2S"	"1/2"	"2p"	"2P*"	"1/2"	2	2		""	"L2560c7"	
Mg	11	"8.4460"	"0.0010"	"8.4458"	"0.0010"	""	""		"[1352.2475]"	"[2820.24]"	"1s.2p"	"1P*"	"1"	"2p2"	"1S"	"0"	3	1		""	"L2560c7"	
Mg	11	"8.4917"	"0.0010"	"8.4959"	"0.0010"	""	""		"[1343.8372]"	"[2803.18]"	"1s.2s"	"1S"	"0"	"2s.2p"	"1P*"	"1"	1	3		""	"L2560c7"	
Fe	21	"8.521"	"0.010"	"8.521"	"0.004"	""	"6.1e+11"	E	"9.1564"	"1464.3"	"2s2.2p2"	"3P"	"1"	"2s2.2p.5d"	"1D*"	"2"	3	5		"T3664"	"L4776"	
Fe	21	"8.521"	"0.010"	"8.521"	"0.004"	""	"1.5e+12"	D	"9.1564"	"1464.3"	"2s2.2p2"	"3P"	"1"	"2s2.2p.5d"	"3P*"	"1"	3	3		"T3664"	"L4776"	
Mg	11	"8.5235"	"0.0010"	"8.5207"	"0.0010"	"*"	""		"[1331.1112]"	"[2786.20]"	"1s.2s"	"3S"	"1"	"2s.2p"	"3P*"	"2"	3	5		""	"L2560c7"	
Mg	11	"8.5235"	"0.0010"	"8.5242"	"0.0010"	"*"	""		"[1331.1112]"	"[2785.60]"	"1s.2s"	"3S"	"1"	"2s.2p"	"3P*"	"1"	3	3		""	"L2560c7"	
Mg	11	"8.5235"	"0.0010"	"8.5258"	"0.0010"	"*"	""		"[1331.1112]"	"[2785.33]"	"1s.2s"	"3S"	"1"	"2s.2p"	"3P*"	"0"	3	1		""	"L2560c7"	
Fe	23	"8.529"	"0.010"	"8.529"	"0.004"	""	"4.3e+12"	D	"43.17"	"1496.9"	"1s2.2s.2p"	"3P*"	"0"	"1s2.2s.4d"	"3D"	"1"	1	3		"T4966"	"L4776"	
Mg	11	"8.5335"	"0.0010"	"8.5299"	"0.0010"	"*"	""		"[1343.0983]"	"[2796.62]"	"1s.2p"	"3P*"	"1"	"2p2"	"3P"	"2"	3	5		""	"L2560c7"	
Mg	11	"8.5335"	"0.0010"	"8.5323"	"0.0010"	"*"	""		"[1342.9955]"	"[2796.10]"	"1s.2p"	"3P*"	"0"	"2p2"	"3P"	"1"	1	3		""	"L2560c7"	
Mg	11	"8.5335"	"0.0010"	"8.5325"	"0.0010"	"*"	""		"[1343.5409]"	"[2796.62]"	"1s.2p"	"3P*"	"2"	"2p2"	"3P"	"2"	5	5		""	"L2560c7"	
Mg	11	"8.5335"	"0.0010"	"8.5329"	"0.0010"	"*"	""		"[1343.0983]"	"[2796.10]"	"1s.2p"	"3P*"	"1"	"2p2"	"3P"	"1"	3	3		""	"L2560c7"	
Mg	11	"8.5335"	"0.0010"	"8.5347"	"0.0010"	"*"	""		"[1343.0983]"	"[2795.81]"	"1s.2p"	"3P*"	"1"	"2p2"	"3P"	"0"	3	1		""	"L2560c7"	
Mg	11	"8.5335"	"0.0010"	"8.5355"	"0.0010"	"*"	""		"[1343.5409]"	"[2796.10]"	"1s.2p"	"3P*"	"2"	"2p2"	"3P"	"1"	5	3		""	"L2560c7"	
Mg	11	"8.5494"	"0.0010"	"8.5515"	"0.0010"	""	""		"[1352.2475]"	"[2802.10]"	"1s.2p"	"1P*"	"1"	"2p2"	"1D"	"2"	3	5		""	"L2560c7"	
Fe	23	"8.550"	"0.010"	"8.550"	"0.004"	""	"6.0e+12"	C	"47.006"	"1497.1"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.4d"	"3D"	"2"	3	5		"T4966"	"L6738"	
Fe	23	""	""	"8.5515"	"0.0010"	""	"3.2e+12"	D	"47.006"	"1496.9"	"1s2.2s.2p"	"3P*"	"1"	"1s2.2s.4d"	"3D"	"1"	3	3		"T4966"	""	
Fe	21	""	""	"8.5524"	"0.0010"	""	"2.8e+11"	E	"14.5500"	"1464.3"	"2s2.2p2"	"3P"	"2"	"2s2.2p.5d"	"1D*"	"2"	5	5		"T3664"	""	
Fe	21	""	""	"8.5524"	"0.0010"	""	"6.5e+11"	E	"14.5500"	"1464.3"	"2s2.2p2"	"3P"	"2"	"2s2.2p.5d"	"3P*"	"1"	5	3		"T3664"	""	
Fe	23	""	""	"8.554"	"0.010"	""	"4.7e+11"	D	"93.287"	"1542.7"	"1s2.2s.2p"	"1P*"	"1"	"1s2.2p.4p"	"3D"	"2"	3	5		"T5298"	"L11926"	
Fe	21	"8.558"	"0.010"	"8.558"	"0.004"	""	"2.0e+12"	D	"14.5500"	"1463.3"	"2s2.2p2"	"3P"	"2"	"2s2.2p.5d"	"3D*"	"3"	5	7		"T3664"	"L4776"	
Fe	21	"8.573"	"0.010"	"8.573"	"0.004"	""	"2.1e+12"	D	"0.0000"	"1446.3"	"2s2.2p2"	"3P"	"0"	"2s2.2p.5d"	"3D*"	"1"	1	3		"T5298"	"L6738"	
Mg	11	"8.574"	"0.010"	"8.5839"	"0.0010"	""	""		"[1352.2475]"	"[2796.62]"	"1s.2p"	"1P*"	"1"	"2p2"	"3P"	"2"	3	5		""	"L2560c7"	
Mg	11	"8.5990"	"0.0010"	"8.5995"	"0.0010"	""	""		"[1343.8372]"	"[2785.60]"	"1s.2s"	"1S"	"0"	"2s.2p"	"3P*"	"1"	1	3		""	"L2560c7"	
Fe	23	"8.616"	"0.010"	"8.614"	"0.004"	""	"7.7e+12"	C	"58.493"	"1497.9"	"1s2.2s.2p"	"3P*"	"2"	"1s2.2s.4d"	"3D"	"3"	5	7		"T4966"	"L6738"	
