# line table created 10-03-21 from NIST database
# elements h-zn I-II included for wavelength range 2000-20000 angstrom. Energy units in ev. Only lines with trans prob. All level information. No uncertainties. 
#Data c+p from NIST as tab-delim. No JS, no spaces in values 
# note that headers changed from ritz_wl_air to obs_wl_air for compatability with existing code, removed units from headers too
# read in as dataframe by pandas, with delim tab, index col false and comment char #
#strings stripped from ei and ek in pandas eg line_table['Ek(eV)']=line_table['Ek(eV)'].str.replace('[^\d.]', '').astype(float)
#element	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type


element	sp_num	obs_wl_air	intens	Aki	Acc	Ei	Ek	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	rm
Cu	2	"1999.69754"	"20000000"	"2.13e+08"	B	"2.71881633"	"8.91695547"	"3d9.4s"	"3D"	"3"	"3d9.4p"	"3D*"	"3"	7	7		
Cr	1	"1999.9536"	"35"	"1.4e+08"	D	"1.03000806"	"7.227354"	"3d4.4s2"	"a 5D"	"4"	"3d4.4s.5p"	"r 5D*"	"4"	9	9		
Fe	2	"2000.37732"	"80000"	"9.5e+07"	C+	"2.52186911"	"8.7179023"	"3d7"	"a 2H"	"11/2"	"3d6.(3G).4p"	"x 2G*"	"9/2"	12	10		
Ni	1	"2000.497"	""	"5.4e+06"	C	"0.1090833"	"6.3047451"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3D*"	"1"	5	3		
Co	2	"2000.79283"	"1500"	"2.4e+06"	D+	"0.11782516"	"6.31257177"	"3d8"	"a 3F"	"3"	"3d7.(4F).4p"	"z 3F*"	"2"	7	5		
Fe	2	"2000.90426"	"1400"	"6.e+06"	D	"7.12826481"	"13.3226665"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"1/2"	4	2		
V	2	"2001.14522"	"8400"	"1.8e+07"	D+	"2.6013033"	"8.7949592"	"3d4"	"a 1D2"	"2"	"3d2.(3F).4s.4p.(3P*)"	"1F*"	"3"	5	7		
V	2	"2001.45193"	"16000"	"6.7e+06"	D+	"2.51443045"	"8.7071374"	"3d3.(2H).4s"	"b 3H"	"5"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"5"	11	11		
V	2	"2001.65361"	"14000"	"3.2e+07"	D+	"2.6013033"	"8.7933864"	"3d4"	"a 1D2"	"2"	"3d2.(3F).4s.4p.(3P*)"	"1D*"	"2"	5	5		
Ni	1	"2001.83"	""	"7.3e+06"	C	"0.0253904"	"6.21691"	"3d9.(2D).4s"	"3D"	"3"	"3d9.(2D).5p"	"*"	"3"	7	7		
Mn	2	"2001.896"	"60H"	"1.8e+08"	D	"7.3817036"	"13.573036"	"3d6"	"c 1G"	"4"	"3d5.(b 2G).4p"	"v 1G*"	"4"	9	9		
Co	2	"2002.75443"	"1000:"	"3.6e+06"	D+	"0.19802719"	"6.38670726"	"3d8"	"a 3F"	"2"	"3d7.(4F).4p"	"z 3D*"	"3"	5	7		
Fe	2	"2003.1909"	"600"	"3.9e+07"	D+	"6.7030021"	"12.8903340"	"3d6.(3P1).4s"	"c 2P"	"1/2"	"3d5.(4P).4s.4p.(3P*)"	"2S*"	"1/2"	2	2		
S	2	"2003.537"	"7"	"6.12e+06"	D	"9.914100"	"16.100362"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"3/2"	2	4		
Fe	2	"2003.90992"	"2900"	"5.e+06"	D	"1.69526130"	"7.8803734"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	4	2		
Si	2	"2004.16"	""	"4.76e+06"	D	"9.505292"	"15.68963"	"3s.3p2"	"2S"	"1/2"	"3s2.10p"	"2P*"	"1/2"	2	2		
Fe	2	"2004.32106"	"500"	"2.6e+07"	E	"7.1388229"	"13.3226665"	"3d5.4s2"	"d 4P"	"1/2"	"3d5.(2D3).4s.4p.(3P*)"	"4D*"	"1/2"	2	2		
Fe	2	"2004.38424"	"800"	"4.0e+06"	D	"7.4725712"	"13.6562198"	"3d5.4s2"	"c 4D"	"7/2"	"3d6.(3F2).5p"	"4F*"	"7/2"	8	8		
V	2	"2004.78739"	"120000"	"1.52e+08"	B	"2.5247320"	"8.7071374"	"3d3.(2H).4s"	"b 3H"	"6"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"5"	13	11		
Si	2	"2004.95"	""	"4.75e+06"	D	"9.505292"	"15.68720"	"3s.3p2"	"2S"	"1/2"	"3s2.10p"	"2P*"	"3/2"	2	4		
B	2	"2005.868"	"200"	"2.21e+08"	B	"18.678180"	"24.85725"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"3"	7	7		
B	2	"2005.868"	""	"2.8e+07"	C	"18.678180"	"24.85725"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"3"	5	7		
B	2	"2006.085"	"100"	"1.74e+08"	B	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"2"	5	5		
B	2	"2006.085"	""	"3.8e+07"	C	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3d"	"3D*"	"2"	3	5		
B	2	"2006.085"	""	"3.89e+07"	C	"18.678180"	"24.85659"	"1s2.2s.3d"	"3D"	"3"	"1s2.2p.3d"	"3D*"	"2"	7	5		
B	2	"2006.238"	"50"	"1.87e+08"	B	"18.678180"	"24.85612"	"1s2.2s.3d"	"3D"	"1"	"1s2.2p.3d"	"3D*"	"1"	3	3		
B	2	"2006.238"	""	"6.22e+07"	B	"18.678180"	"24.85612"	"1s2.2s.3d"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"1"	5	3		
S	2	"2006.367"	"6"	"4.09e+06"	D	"9.914100"	"16.091640"	"3s.3p4"	"4P"	"1/2"	"3s2.3p2.(3P).4p"	"4P*"	"1/2"	2	2		
V	2	"2006.88887"	"56000"	"1.0e+08"	D+	"2.3721639"	"8.5480964"	"3d3.(2P).4s"	"b 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"3"	5	7		
Ni	1	"2006.993"	""	"1.7e+07"	C	"0.1090833"	"6.2846957"	"3d9.(2D).4s"	"3D"	"2"	"3d9.(2D).5p"	"3D*"	"2"	5	5		
Fe	2	"2007.01387"	"16000"	"2.0e+07"	D+	"2.82812245"	"9.0036704"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3D).4p"	"w 4D*"	"5/2"	8	6		
Fe	2	"2007.18400"	"1200"	"4.2e+06"	D	"7.12826481"	"13.3032894"	"3d5.4s2"	"d 4P"	"3/2"	"3d5.(2F1).4s.4p.(3P*)"	"4G*"	"5/2"	4	6		
Fe	2	"2007.44193"	"9000"	"8.e+06"	D+	"1.67061856"	"7.8448498"	"3d7"	"a 4P"	"5/2"	"3d6.(3F2).4p"	"x 4D*"	"5/2"	6	6		
V	2	"2007.65098"	"9300"	"1.1e+07"	D+	"2.2755849"	"8.4491734"	"3d4"	"a 3D"	"3"	"3d2.(3F).4s.4p.(3P*)"	"v 3F*"	"4"	7	9		
Ni	1	"2007.685"	""	"9.0e+06"	C	"0.1651673"	"6.3386502"	"3d8.(3F).4s2"	"3F"	"3"	"3d8.(1G).4s.4p.(3P*)"	"3F*"	"3"	7	7		
Fe	2	"2007.70822"	"13000"	"1.6e+07"	D+	"1.69526130"	"7.8686738"	"3d7"	"a 4P"	"3/2"	"3d6.(3F2).4p"	"x 4D*"	"3/2"	4	4		
Co	2	"2008.22510"	"1100"	"4.3e+06"	D	"2.68109977"	"8.85292357"	"3d7.(2G).4s"	"a 3G"	"5"	"3d7.(2H).4p"	"y 3H*"	"6"	11	13		
Co	2	"2008.64764"	"480"	"1.1e+07"	D	"7.88378161"	"14.0543073"	"3d7.(4P).4p"	"y 3D*"	"3"	"3d7.(2D2).4d"	"3F"	"3"	7	7		
V	2	"2009.7864"	"720"	"5.3e+06"	D+	"4.7353313"	"10.902361"	"3d2.4s2"	"e 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"r 3F*"	"3"	7	7		
Fe	2	"2009.98986"	"2200d"	"8.e+05"	D	"1.96448604"	"8.1308918"	"3d7"	"a 2G"	"9/2"	"3d6.(3G).4p"	"x 4G*"	"11/2"	10	12		
Fe	2	"2010.69688"	"60000"	"8.e+07"	D+	"2.57958587"	"8.7438237"	"3d7"	"a 2H"	"9/2"	"3d6.(3G).4p"	"x 2G*"	"7/2"	10	8		
Fe	2	"2010.95207"	"2600"	"2.4e+06"	D	"1.96448604"	"8.1279417"	"3d7"	"a 2G"	"9/2"	"3d6.(3H).4p"	"z 2H*"	"9/2"	10	10		
V	2	"2011.1496"	"2100"	"5.1e+07"	D+	"3.7575133"	"9.9203637"	"3d3.(2F).4s"	"c 3F"	"3"	"3d2.(1G).4s.4p.(3P*)"	"u 3G*"	"4"	7	9		
Cr	2	"2011.16902"	"16"	"8.33e+05"		"0.00000000"	"6.16279089"	"3d5"	"a 6S"	"5/2"	"3d4.(5D).4p"	"z 4P*"	"5/2"	6	6		
Co	2	"2011.51619"	"39000"	"6.1e+07"	B+	"0.00000000"	"6.16172739"	"3d8"	"a 3F"	"4"	"3d7.(4F).4p"	"z 3F*"	"4"	9	9		
Fe	2	"2011.65861"	"400d?"	"1.5e+06"	D	"6.72932284"	"12.8906141"	"3d5.4s2"	"b 4G"	"5/2"	"3d6.(5D<1>).4f"	"2[3]*"	"7/2"	6	8		
Co	2	"2011.68084"	"860"	"3.9e+06"	D	"2.72881087"	"8.89003402"	"3d7.(2G).4s"	"a 3G"	"4"	"3d7.(2H).4p"	"y 3H*"	"5"	9	11		
Co	2	"2012.17127"	"240"	"2.8e+06"	D	"7.87425876"	"14.0339805"	"3d7.(2G).4p"	"y 3F*"	"4"	""	"113191"	"3"	9	7		
Fe	2	"2012.22628"	"2100d?"	"2.3e+06"	D	"2.84411707"	"9.0036704"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3D).4p"	"w 4D*"	"5/2"	6	6		
V	2	"2012.65204"	"14000"	"7.1e+06"	D+	"2.5097359"	"8.6679864"	"3d3.(2H).4s"	"b 3H"	"4"	"3d2.(3F).4s.4p.(3P*)"	"v 3G*"	"4"	9	9		
V	2	"2012.84801"	"14000"	"1.1e+07"	D+	"2.3721639"	"8.5298149"	"3d3.(2P).4s"	"b 3P"	"2"	"3d2.(3F).4s.4p.(3P*)"	"u 3D*"	"2"	5	5		
Cu	2	"2012.98041"	"1800000"	"2.5e+08"	C	"8.23486741"	"14.39211349"	"3d9.4p"	"3P*"	"2"	"3d9.(2D<5/2>).4d"	"2[5/2]"	"3"	5	7		
Fe	2	"2013.26022"	"10000"	"2.7e+07"	D+	"1.72398297"	"7.8803734"	"3d7"	"a 4P"	"1/2"	"3d6.(3F2).4p"	"x 4D*"	"1/2"	2	2		
