obs_wl_air,prev_obs,prev
3872.5,E12o-FeI,E12o
4045.59,E12o-FeI,E12o
4191.43,E12o-FeI/E15q-FeI/A17o-FeI,E12o/E15q/A17o
4202.03,E12o-FeI/Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,E12o/Z20q/E15q/Z20o/E12q
4233.17,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,E12o/Z20q/E15q/Z20o/E12q/A17o
4233.17,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,E12o/Z20q/E15q/Z20o/E12q/A17o
4330.7,E12o-TiII,E12o
4351.77,E12o-FeII/E15q-FeII/E12q-FeII/A17o-FeII,E12o/E15q/E12q/A17o
4351.77,E12o-FeII/E15q-CrI/E12q-FeII/A17o-FeII,E12o/E15q/E12q/A17o
4549.47,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,E12o/Z20q/E15q/Z20o/E12q/A17o
4563.77,E12o-TiII/Z20q-TiII/E15q-TiII/Z20o-TiII,E12o/Z20q/E15q/Z20o
4571.98,E12o-TiII/E15q-TiII/E12q-TiII/A17o-TiII,E12o/E15q/E12q/A17o
4629.28,E12o-TiII,E12o
4702.99,E12o-MgI/E15q-MgI/Z20o-MgI:,E12o/E15q/Z20o
4798.52,E12o-TiII,E12o
4805.1,E12o-TiII/Z20q-TiII/Z20o-TiII,E12o/Z20q/Z20o
4824.13,E12o-CrII/Z20q-CrII/E15q-CrII/Z20o-CrII/E12q-CrII/FeI,E12o/Z20q/E15q/Z20o/E12q
4848.23,E12o-CrII/Z20q-CrII/E15q-CrII,E12o/Z20q/E15q
4861.28,E12o-HI/E12q-H$\beta$/A17o-HI,E12o/E12q/A17o
4911.19,E12o-TiII/Z20q-TiII/Z20o-TiII,E12o/Z20q/Z20o
4957.6,E12o-FeI/Z20q-FeI/E15q-FeI/Z20o-FeI/E12q-FeI,E12o/Z20q/E15q/Z20o/E12q
5018.43,E12o-FeII/Z20q-FeII/E15q-FeII/Z20o-FeII/E12q-FeII/A17o-FeII,E12o/Z20q/E15q/Z20o/E12q/A17o
